INFO:2026-01-21 15:06:00,070: Epoch [1/500], Step [9600/35359], Mel Loss: 0.53005, Gen Loss: 8.94710, Disc Loss: 3.40052, Mono Loss: 0.04353, S2S Loss: 3.23089, SLM Loss: 2.15037
INFO:2026-01-21 15:06:44,330: Epoch [1/500], Step [9700/35359], Mel Loss: 0.53224, Gen Loss: 9.80200, Disc Loss: 3.10507, Mono Loss: 0.04426, S2S Loss: 3.56748, SLM Loss: 2.42519
INFO:2026-01-21 15:07:28,973: Epoch [1/500], Step [9800/35359], Mel Loss: 0.53910, Gen Loss: 8.76142, Disc Loss: 3.25106, Mono Loss: 0.05844, S2S Loss: 3.93735, SLM Loss: 2.21788
INFO:2026-01-21 15:08:13,371: Epoch [1/500], Step [9900/35359], Mel Loss: 0.53277, Gen Loss: 11.56036, Disc Loss: 3.37919, Mono Loss: 0.03980, S2S Loss: 3.96562, SLM Loss: 2.22605
INFO:2026-01-21 15:08:58,412: Epoch [1/500], Step [10000/35359], Mel Loss: 0.53601, Gen Loss: 11.08166, Disc Loss: 3.30229, Mono Loss: 0.01519, S2S Loss: 3.95532, SLM Loss: 2.50430
INFO:2026-01-21 15:09:43,216: Epoch [1/500], Step [10100/35359], Mel Loss: 0.52299, Gen Loss: 8.39156, Disc Loss: 3.54935, Mono Loss: 0.02429, S2S Loss: 3.44953, SLM Loss: 2.24061
INFO:2026-01-21 15:10:28,274: Epoch [1/500], Step [10200/35359], Mel Loss: 0.51262, Gen Loss: 8.95897, Disc Loss: 3.28647, Mono Loss: 0.06306, S2S Loss: 3.55913, SLM Loss: 2.18200
INFO:2026-01-21 15:11:12,399: Epoch [1/500], Step [10300/35359], Mel Loss: 0.51541, Gen Loss: 7.05281, Disc Loss: 3.54397, Mono Loss: 0.03295, S2S Loss: 3.76344, SLM Loss: 2.10971
INFO:2026-01-21 15:11:56,884: Epoch [1/500], Step [10400/35359], Mel Loss: 0.53770, Gen Loss: 10.38450, Disc Loss: 2.92381, Mono Loss: 0.07760, S2S Loss: 3.55885, SLM Loss: 2.22547
INFO:2026-01-21 15:12:41,206: Epoch [1/500], Step [10500/35359], Mel Loss: 0.54151, Gen Loss: 9.45019, Disc Loss: 3.31819, Mono Loss: 0.03943, S2S Loss: 3.60713, SLM Loss: 2.38287
